"","country","vax"
"1","Alabama",48.9
"2","Alaska",60.1
"3","Arizona",58.3
"4","Arkansas",52.3
"5","California",68.3
"6","Colorado",67.7
"7","Connecticut",75.5
"8","Delaware",65.6
"9","District of Columbia",71.3
"10","Florida",64.4
"11","Georgia",52.2
"12","Hawaii",75.3
"13","Idaho",52
"14","Illinois",64.8
"15","Indiana",53.4
"16","Iowa",59.6
"17","Kansas",59.3
"18","Kentucky",55.1
"19","Louisiana",51.1
"20","Maine",77
"21","Maryland",72
"22","Massachusetts",75.1
"23","Michigan",57.6
"24","Minnesota",66.3
"25","Mississippi",49.6
"26","Missouri",53.7
"27","Montana",55
"28","Nebraska",61
"29","Nevada",57.3
"30","New Hampshire",67.4
"31","New Jersey",71.8
"32","New Mexico",67.5
"33","New York",72.7
"34","North Carolina",57.7
"35","North Dakota",53.4
"36","Ohio",56.1
"37","Oklahoma",54.4
"38","Oregon",67.4
"39","Pennsylvania",65.3
"40","Rhode Island",77.6
"41","South Carolina",54.3
"42","South Dakota",58.3
"43","Tennessee",52.4
"44","Texas",57.4
"45","Utah",61.6
"46","Vermont",79
"47","Virginia",69.8
"48","Washington",69.6
"49","West Virginia",56
"50","Wisconsin",62.9
"51","Wyoming",49.1
"52","Georgia",52.2
"53","Michigan",57.6
"54","Missouri",53.7
"55","North Carolina",57.7
"56","South Carolina",54.3
"57","Tennessee",52.4
"58","Texas",57.4
"59","Alaska",60.1
"60","South Carolina",54.3
"61","South Dakota",58.3
"62","Georgia",52.2
"63","Kansas",59.3
"64","Wisconsin",62.9
"65","Mississippi",49.6
"66","North Carolina",57.7
"67","Arizona",58.3
"68","Indiana",53.4
"69","Michigan",57.6
"70","North Dakota",53.4
